Scaffold	Start	Stop	ContigName
Chr1	1	17332	1_17332
Chr1	17433	1405486	17433_1405486
Chr1	1405587	1418144	1405587_1418144
Chr1	1418245	1444177	1418245_1444177
Chr1	1444278	1458903	1444278_1458903
Chr1	1459004	1471455	1459004_1471455
Chr1	1471556	11781446	1471556_11781446
Chr1	11781547	11799788	11781547_11799788
Chr1	11799889	11971223	11799889_11971223
Chr1	11971324	15101396	11971324_15101396
Chr1	15101497	17828583	15101497_17828583
Chr1	17828684	17849180	17828684_17849180
Chr1	17849281	17863623	17849281_17863623
Chr1	17863724	24597124	17863724_24597124
Chr1	24597225	24609146	24597225_24609146
Chr2	1	21523	1_21523
Chr2	21624	6476689	21624_6476689
Chr2	6476790	10947344	6476790_10947344
Chr2	10947445	10961491	10947445_10961491
Chr2	10961592	10998604	10961592_10998604
Chr2	10998705	11026043	10998705_11026043
Chr2	11026144	11052006	11026144_11052006
Chr2	11052107	11077884	11052107_11077884
Chr2	11077985	11386208	11077985_11386208
Chr2	11386309	11456762	11386309_11456762
Chr2	11456863	11472590	11456863_11472590
Chr2	11472691	12074677	11472691_12074677
Chr2	12074778	12092977	12074778_12092977
Chr2	12093078	14897421	12093078_14897421
Chr2	14897522	14936194	14897522_14936194
Chr2	14936295	14991680	14936295_14991680
Chr2	14991781	18727052	14991781_18727052
Chr2	18727153	19192188	18727153_19192188
Chr2	19192289	19209854	19192289_19209854
Chr2	19209955	19224430	19209955_19224430
Chr3	1	5302142	1_5302142
Chr3	5302243	7221703	5302243_7221703
Chr3	7221804	7233264	7221804_7233264
Chr3	7233365	7311862	7233365_7311862
Chr3	7311963	7446723	7311963_7446723
Chr3	7446824	7467769	7446824_7467769
Chr3	7467870	7698717	7467870_7698717
Chr3	7698818	7740926	7698818_7740926
Chr3	7741027	7945034	7741027_7945034
Chr3	7945135	8099572	7945135_8099572
Chr3	8099673	8679765	8099673_8679765
Chr3	8679866	8701910	8679866_8701910
Chr3	8702011	8723495	8702011_8723495
Chr3	8723596	8750844	8723596_8750844
Chr3	8750945	8857896	8750945_8857896
Chr3	8857997	8873341	8857997_8873341
Chr3	8873442	8898034	8873442_8898034
Chr3	8898135	8919718	8898135_8919718
Chr3	8919819	9270591	8919819_9270591
Chr3	9270692	9296192	9270692_9296192
Chr3	9296293	9312217	9296293_9312217
Chr3	9312318	18306616	9312318_18306616
Chr3	18306717	18309999	18306717_18309999
Chr4	1	21470	1_21470
Chr4	21571	39095	21571_39095
Chr4	39196	3366696	39196_3366696
Chr4	3366797	3381018	3366797_3381018
Chr4	3381119	3397458	3381119_3397458
Chr4	3397559	6200562	3397559_6200562
Chr4	6200663	7527290	6200663_7527290
Chr4	7527391	7554920	7527391_7554920
Chr4	7555021	7576945	7555021_7576945
Chr4	7577046	7891729	7577046_7891729
Chr4	7891830	7908000	7891830_7908000
Chr4	7908101	8255654	7908101_8255654
Chr4	8255755	8601902	8255755_8601902
Chr4	8602003	8852379	8602003_8852379
Chr4	8852480	8888301	8852480_8888301
Chr4	8888402	16510541	8888402_16510541
Chr4	16510642	16528731	16510642_16528731
Chr4	16528832	16573394	16528832_16573394
Chr4	16573495	17779965	16573495_17779965
Chr5	1	19076	1_19076
Chr5	19177	33806	19177_33806
Chr5	33907	5906299	33907_5906299
Chr5	5906400	7129113	5906400_7129113
Chr5	7129214	7698753	7129214_7698753
Chr5	7698854	7716565	7698854_7716565
Chr5	7716666	7737757	7716666_7737757
Chr5	7737858	7752628	7737858_7752628
Chr5	7752729	12822298	7752729_12822298
Chr5	12822399	12837773	12822399_12837773
Chr5	12837874	17426468	12837874_17426468
Chr5	17426569	17449724	17426569_17449724
